stationName,netType,latDD,lonDD,elev,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,pJan,pFeb,pMar,pApr,pMay,pJun,pJul,pAug,pSep,pOct,pNov,pDec,pdType,pdStartYr,pdEndYr,awc,maatmast,cntryCode,stProvCode,notes,stationID
WILLIAMSPORT,HCN,41.24,-76.92,520,26.8,29.6,39.2,53.8,63,67.6,79.1,75.4,63.8,54,38.3,25.8,0.99,3.52,4.19,3.38,1.27,1.77,0.99,7.67,2.63,7.78,2.43,0.84,actual,1955,1955,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.7,31.6,35,47.8,56.9,70,69.8,70,60.5,53.6,41.9,35.7,1.48,4.15,3.28,3.08,3.33,3.02,7.17,4.09,2.6,3.53,4.75,4.28,actual,1956,1956,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,24,33,38.9,51.8,60.3,71.5,72.7,69,64.5,51.1,42.6,35.2,1.59,2.2,2.87,6.3,1.93,5.74,1.65,1.25,3.8,1.5,3.12,5.05,actual,1957,1957,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,27.8,23.8,37.4,50.9,58.1,63.2,73.9,70.3,62.8,51.6,41.6,23.6,4.95,3.52,3.74,4.26,2.66,3.98,8.3,3.03,4.04,1.73,3.25,0.9,actual,1958,1958,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.5,28.3,35.5,50.3,63.4,69.5,73.3,74.2,67.3,55,39.3,32.8,3.49,1.85,3.55,4.38,1.45,4.24,4.33,2.73,4.09,6.96,4.56,4.18,actual,1959,1959,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,31.1,32.3,28.5,54.5,57.5,68.1,69.8,71.9,64.9,51.2,41.5,22.1,2.21,4.81,2.95,3.46,7.24,3.57,4.64,2.99,6.35,1.78,1.45,1.8,actual,1960,1960,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,20.6,30,38.1,45.4,56.7,68.3,72.5,71.1,69.9,54.9,42.6,30.3,2.35,3.17,3.75,5.46,2.94,5.11,5.49,3.69,0.89,1.86,3.65,2.53,actual,1961,1961,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.1,26.8,37.3,49.7,63.3,68.7,70.5,70.3,59.3,52.5,38.8,24.7,3.1,4.05,4.8,3,2.61,2.11,2.54,4.55,3.25,5.31,2.47,2.87,actual,1962,1962,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,23.2,20.7,38.8,50.2,58,68.4,72.2,68.2,59.7,56.6,45,25.4,2.09,1.73,3.14,1.34,4.91,2.48,3.12,2.28,2.29,0.19,5.08,2.41,actual,1963,1963,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,27.8,26.8,38.5,47,62.5,68.4,74.6,68.7,64.5,51.4,43.5,31.5,4.95,3.11,3.87,5.56,0.8,2.6,3.37,4.18,0.5,1.1,2.24,2.66,actual,1964,1964,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,22.3,27.3,33.5,44.4,61.5,65.1,68.9,68.1,63.4,49.1,41.4,34.6,2.88,2.27,3.21,3.07,1.88,1.75,1.7,5.03,4.04,3.98,1.69,0.93,actual,1965,1965,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,25.6,29,39.5,46.6,55.9,66.3,72.1,70.9,59.4,47.6,41.3,30.1,3.32,4.58,1.9,2.83,4.16,0.66,3.9,2.45,5.22,1.43,5.77,1.92,actual,1966,1966,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,31.4,23.5,34.3,50.4,52.8,71.2,71.4,69.3,63.3,51.8,37.9,33.4,1.35,1.49,5.36,2.88,5.5,3.24,6.03,4.97,2.2,4.5,3.63,2.71,actual,1967,1967,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,23,26.3,40.9,52,56.2,66.3,72.4,71.9,64.5,53.9,42.9,30.5,2.49,0.57,3.1,1.05,4.93,5.2,1.39,1.47,6.41,3.72,4.5,2.96,actual,1968,1968,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,27.2,28.2,35.4,50,60.9,69.5,71.7,71.1,64.2,51.6,41.8,28.5,1.24,0.72,1.49,2.78,1.83,4.38,6.46,3.09,1.81,3.04,5.08,5.63,actual,1969,1969,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,18.5,26.5,34.2,49.9,62.5,67.3,73.2,72.4,67.4,56.4,45.1,32.8,0.95,3.76,2.95,3.28,3.23,3.32,5.45,3,1.91,5.43,5.08,4.12,actual,1970,1970,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,23,30.4,36.6,48.4,58.5,70.6,71.8,70.3,68.2,58.8,39.6,35.1,2.54,6.5,2.69,1.17,2.88,1.89,5.68,2.48,3.33,3.88,3.18,2.87,actual,1971,1971,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.6,24.2,34.9,46,61,64,72,70,63.1,46.5,37.7,34.3,2.49,4.84,3.96,4.22,6.79,16.8,3.79,1.71,1.61,2.18,8.09,4.79,actual,1972,1972,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.5,25.9,43.3,48.9,54.9,70.4,71.2,71.1,63.6,53.3,42.3,31.6,2.73,2.74,3.47,5.56,5.18,5.86,3.99,1.95,5.5,3.17,2.24,7.36,actual,1973,1973,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.7,27.4,38,50.9,57.2,65.7,71.7,71.3,61.4,49,43.1,34.1,3.03,1.9,5.78,2.99,3.04,5.51,2.67,3.05,4.84,0.86,2.57,4.5,actual,1974,1974,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,30.6,31.2,37.2,43.2,61.5,66.9,72.1,70.9,59.5,54.4,47.2,31.8,3.53,4.34,3.07,1.53,6.54,5.25,3.66,4.43,10.02,2.98,2.83,3.24,actual,1975,1975,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,22.7,35.4,42,52.8,58.3,71.6,70.4,70.2,62.3,49.4,36.3,26.1,2.73,1.9,2.75,1.9,3.81,5.31,4.8,3.18,3.21,8.14,0.83,1.74,actual,1976,1976,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,14.9,28.8,44.7,53.2,63.8,67,73.8,72.1,67.2,50.4,45.3,28.4,1.35,1.74,5.74,6.79,1.02,3.51,3.59,2.29,7.3,4.22,5.45,4.22,actual,1977,1977,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
